Provincia	Año	Poblacion
San Luis	1970	183460
San Luis	1980	214416
San Luis	1991	286458
San Luis	2001	367933
San Luis	2010	432310
San Luis	2020	508328
Santa Cruz	1869	
Santa Cruz	1895	1058
Santa Cruz	1914	9948
Santa Cruz	1947	42880
Santa Cruz	1960	52908
Santa Cruz	1970	84457
Santa Cruz	1980	114941
Santa Cruz	1991	159839
Santa Cruz	2001	196958
Santa Cruz	2010	273964
Santa Cruz	2020	365698
Santa Fe	1869	89117
Santa Fe	1895	397188
Santa Fe	1914	899640
Santa Fe	1947	1702975
Santa Fe	1960	1884918
Santa Fe	1970	2135583
Santa Fe	1980	2465546
Santa Fe	1991	2798422
Santa Fe	2001	3000701
Santa Fe	2010	3194537
Santa Fe	2020	3536418
Santiago del Estero	1869	132898
Santiago del Estero	1895	161502
Santiago del Estero	1914	261678
Santiago del Estero	1947	479473
Santiago del Estero	1960	476503
Santiago del Estero	1970	495419
Santiago del Estero	1980	594920
Santiago del Estero	1991	671988
Santiago del Estero	2001	804457
Santiago del Estero	2010	874006
Santiago del Estero	2020	978313
Tucumán	1869	108953
Tucumán	1895	215742
Tucumán	1914	332933
Tucumán	1947	593371
Tucumán	1960	773972
Tucumán	1970	765962
Tucumán	1980	972655
Tucumán	1991	1142105
Tucumán	2001	1338523
Tucumán	2010	1448188
Tucumán	2020	1694656
Tierra del Fuego, Antártida e Islas del Atlántico Sur	1869	 
Tierra del Fuego, Antártida e Islas del Atlántico Sur	1895	477
Tierra del Fuego, Antártida e Islas del Atlántico Sur	1914	2504
Tierra del Fuego, Antártida e Islas del Atlántico Sur	1947	5045
Tierra del Fuego, Antártida e Islas del Atlántico Sur	1960	11209
Tierra del Fuego, Antártida e Islas del Atlántico Sur	1970	15658
Tierra del Fuego, Antártida e Islas del Atlántico Sur	1980	29392
Tierra del Fuego, Antártida e Islas del Atlántico Sur	1991	69369
Tierra del Fuego, Antártida e Islas del Atlántico Sur	2001	101079
Tierra del Fuego, Antártida e Islas del Atlántico Sur	2010	127205
Tierra del Fuego, Antártida e Islas del Atlántico Sur	2020	173149
